+====================+===================+====================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rd_dir_tmp_reg[4]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rd_dir_tmp_reg[0]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/shamt_tmp_reg[4]/D        |
| sys_clk_pin        | sys_clk_pin       | etapa_id/shamt_tmp_reg[1]/D        |
| sys_clk_pin        | sys_clk_pin       | etapa_id/shamt_tmp_reg[3]/D        |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rs_dir_tmp_reg[3]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/funct_tmp_reg[2]/D        |
| sys_clk_pin        | sys_clk_pin       | etapa_id/funct_tmp_reg[5]/D        |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rs_dir_tmp_reg[2]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/funct_tmp_reg[4]/D        |
| sys_clk_pin        | sys_clk_pin       | etapa_id/op_tmp_reg[2]/D           |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rt_dir_tmp_reg[1]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/funct_tmp_reg[0]/D        |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rt_dir_tmp_reg[3]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rd_dir_tmp_reg[3]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rs_dir_tmp_reg[1]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/funct_tmp_reg[3]/D        |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rt_dir_tmp_reg[4]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/op_tmp_reg[4]/D           |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rt_dir_tmp_reg[2]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/op_tmp_reg[0]/D           |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rs_dir_tmp_reg[4]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/op_tmp_reg[3]/D           |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rs_dir_tmp_reg[0]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/rt_dir_tmp_reg[0]/D       |
| sys_clk_pin        | sys_clk_pin       | etapa_id/shamt_tmp_reg[0]/D        |
| sys_clk_pin        | sys_clk_pin       | etapa_id/funct_tmp_reg[1]/D        |
| sys_clk_pin        | sys_clk_pin       | exmem/wb_reg_write_tmp_reg[2]/D    |
| sys_clk_pin        | sys_clk_pin       | exmem/wb_reg_write_tmp_reg[3]/D    |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[9]/D  |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[5]/D  |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[10]/D |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[6]/D  |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[8]/D  |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[1]/D  |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[7]/D  |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[4]/D  |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[3]/D  |
| sys_clk_pin        | sys_clk_pin       | memwb/res_tmp_reg[28]/D            |
| sys_clk_pin        | sys_clk_pin       | etapa_if/program_counter_reg[2]/D  |
| sys_clk_pin        | sys_clk_pin       | memwb/res_tmp_reg[14]/D            |
+--------------------+-------------------+------------------------------------+
